Method,Dimension,Rating,Figure,Metric,Simulation_mean_value,Simulation_mean_rank,Simulation_n_comparisons,Kmeans_mean_rank,Louvain_mean_rank,Real_data_mean_value,Real_data_mean_rank,Real_data_n_comparisons,Runtime_median_sec,Runtime_max_sec,Runtime_mean_rank,Runtime_n_settings,Major_observation,Why_this_supports_the_rating,Evidence_status,Interpretation_rule
PCA,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.575563895003598,6.9,10,,,,,,,,,,GMM mean rank 6.90 across 10 dropout-metric comparisons (mean score 0.576).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,Dropout,-,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.0048473899552879,9.9,10,,,,,,,,,,GMM mean rank 9.90 across 10 dropout-metric comparisons (mean score 0.005).,The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.591400447497185,5.3,10,,,,,,,,,,GMM mean rank 5.30 across 10 dropout-metric comparisons (mean score 0.591).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.610770037737323,5.5,10,,,,,,,,,,GMM mean rank 5.50 across 10 dropout-metric comparisons (mean score 0.611).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,Dropout,+,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.656152646578328,1.4,10,,,,,,,,,,GMM mean rank 1.40 across 10 dropout-metric comparisons (mean score 0.656).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.582260911964867,6,10,,,,,,,,,,GMM mean rank 6.00 across 10 dropout-metric comparisons (mean score 0.582).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.582340679092389,5.7,10,,,,,,,,,,GMM mean rank 5.70 across 10 dropout-metric comparisons (mean score 0.582).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,Dropout,+,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.621880095393524,2.7,10,,,,,,,,,,GMM mean rank 2.70 across 10 dropout-metric comparisons (mean score 0.622).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.567280140628232,7.1,10,,,,,,,,,,GMM mean rank 7.10 across 10 dropout-metric comparisons (mean score 0.567).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,Dropout,±,Figure 3; Supplementary Table S3,GMM PC10 ARI/NMI,0.59772745353544,4.5,10,,,,,,,,,,GMM mean rank 4.50 across 10 dropout-metric comparisons (mean score 0.598).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCA,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.76973067478648,3.73684210526316,19,,,,,,,,,,Mean score 0.770 and mean rank 3.74 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,PC-wise,-,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.094372376673065,10,19,,,,,,,,,,Mean score 0.094 and mean rank 10.00 across 19 non-identity Simulation 2 conditions.,The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,PC-wise,-,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.612075875392585,8.89473684210526,19,,,,,,,,,,Mean score 0.612 and mean rank 8.89 across 19 non-identity Simulation 2 conditions.,The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.77252893599012,2.10526315789474,19,,,,,,,,,,Mean score 0.773 and mean rank 2.11 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.744323669169148,6.15789473684211,19,,,,,,,,,,Mean score 0.744 and mean rank 6.16 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.761031206682605,5.57894736842105,19,,,,,,,,,,Mean score 0.761 and mean rank 5.58 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.765906228489887,4.36842105263158,19,,,,,,,,,,Mean score 0.766 and mean rank 4.37 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.760314562383108,5.73684210526316,19,,,,,,,,,,Mean score 0.760 and mean rank 5.74 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.775450054785713,3.89473684210526,19,,,,,,,,,,Mean score 0.775 and mean rank 3.89 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,PC-wise,±,Supplementary Figures S4 and S5,Mean PC-wise absolute cosine similarity (PC1-PC10),0.766301177955879,4.52631578947368,19,,,,,,,,,,Mean score 0.766 and mean rank 4.53 across 19 non-identity Simulation 2 conditions.,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCA,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.825495622957957,4.8421052631579,19,,,0.955056167733877,5,3,,,,,Simulation mean rank 4.84 across 19 non-identity conditions (mean 0.825); real-data mean rank 5.00 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,Subspace,-,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.457664046366248,10,19,,,0.317285746564599,10,3,,,,,Simulation mean rank 10.00 across 19 non-identity conditions (mean 0.458); real-data mean rank 10.00 across 3 datasets (mean 0.317).,The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,Subspace,±,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.774279018014219,8.8421052631579,19,,,0.872109116915121,8.66666666666667,3,,,,,Simulation mean rank 8.84 across 19 non-identity conditions (mean 0.774); real-data mean rank 8.67 across 3 datasets (mean 0.872).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,Subspace,±,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.831896091839298,2.15789473684211,19,,,0.919244884397166,6.33333333333333,3,,,,,Simulation mean rank 2.16 across 19 non-identity conditions (mean 0.832); real-data mean rank 6.33 across 3 datasets (mean 0.919).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.80866892902919,5.57894736842105,19,,,0.957987670656551,1,3,,,,,Simulation mean rank 5.58 across 19 non-identity conditions (mean 0.809); real-data mean rank 1.00 across 3 datasets (mean 0.958).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.824981287342262,4.8421052631579,19,,,0.955031342647887,5.66666666666667,3,,,,,Simulation mean rank 4.84 across 19 non-identity conditions (mean 0.825); real-data mean rank 5.67 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.824251150470598,4.57894736842105,19,,,0.955060308688742,5,3,,,,,Simulation mean rank 4.58 across 19 non-identity conditions (mean 0.824); real-data mean rank 5.00 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.821135451558882,5,19,,,0.955182439461411,3.66666666666667,3,,,,,Simulation mean rank 5.00 across 19 non-identity conditions (mean 0.821); real-data mean rank 3.67 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.825763885812586,4.26315789473684,19,,,0.954911784737854,6.33333333333333,3,,,,,Simulation mean rank 4.26 across 19 non-identity conditions (mean 0.826); real-data mean rank 6.33 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,Subspace,+,"Figures 4, 5 and 7",PC10 mean cosine similarity,0.821450134417039,4.89473684210526,19,,,0.955300889801864,3.33333333333333,3,,,,,Simulation mean rank 4.89 across 19 non-identity conditions (mean 0.821); real-data mean rank 3.33 across 3 datasets (mean 0.955).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCA,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.670240772937742,7.225,40,4.35,6,0.52385154763908,4.22222222222222,9,,,,,"Simulation mean ranks: GMM 7.22, k-means 4.35, Louvain 6.00 (40 GMM condition-metric comparisons); real-data GMM mean rank 4.22 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,Clustering,-,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.00480691370210507,9.975,40,10,10,0.302891344627342,9,9,,,,,"Simulation mean ranks: GMM 9.97, k-means 10.00, Louvain 10.00 (40 GMM condition-metric comparisons); real-data GMM mean rank 9.00 across 9 dataset-metric comparisons.",The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.761736097672982,3.725,40,8.9,8.775,0.440259553251418,7.55555555555556,9,,,,,"Simulation mean ranks: GMM 3.73, k-means 8.90, Louvain 8.78 (40 GMM condition-metric comparisons); real-data GMM mean rank 7.56 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.876059638201921,2.125,40,1.8,6.675,0.514637480565115,3.77777777777778,9,,,,,"Simulation mean ranks: GMM 2.12, k-means 1.80, Louvain 6.67 (40 GMM condition-metric comparisons); real-data GMM mean rank 3.78 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,Clustering,+,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.80048546908583,1.975,40,4.425,2.675,0.517680439238364,3.33333333333333,9,,,,,"Simulation mean ranks: GMM 1.98, k-means 4.42, Louvain 2.67 (40 GMM condition-metric comparisons); real-data GMM mean rank 3.33 across 9 dataset-metric comparisons.",The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.668302845431618,7.15,40,3.6,4.325,0.509847676772364,4.77777777777778,9,,,,,"Simulation mean ranks: GMM 7.15, k-means 3.60, Louvain 4.33 (40 GMM condition-metric comparisons); real-data GMM mean rank 4.78 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.673826613903839,6.825,40,3.35,3.875,0.511490402526093,4.77777777777778,9,,,,,"Simulation mean ranks: GMM 6.83, k-means 3.35, Louvain 3.88 (40 GMM condition-metric comparisons); real-data GMM mean rank 4.78 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.758004763497422,3.55,40,6.675,3.675,0.513713348682894,6,9,,,,,"Simulation mean ranks: GMM 3.55, k-means 6.67, Louvain 3.67 (40 GMM condition-metric comparisons); real-data GMM mean rank 6.00 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.664795878720381,7.725,40,6.925,5.05,0.491696897028382,6.44444444444445,9,,,,,"Simulation mean ranks: GMM 7.72, k-means 6.92, Louvain 5.05 (40 GMM condition-metric comparisons); real-data GMM mean rank 6.44 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,Clustering,±,Figures 3 and 6; Supplementary Figures S1-S3,PC10 ARI/NMI by clustering algorithm; real-data GMM ARI,0.724385366217268,4.725,40,4.975,3.95,0.51108112293456,5.11111111111111,9,,,,,"Simulation mean ranks: GMM 4.72, k-means 4.97, Louvain 3.95 (40 GMM condition-metric comparisons); real-data GMM mean rank 5.11 across 9 dataset-metric comparisons.","The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCA,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,0.877000000000001,6.399,4.57142857142857,7,Median runtime 0.877 s across 7 unique scale settings; maximum 6.399 s; mean within-setting runtime rank 4.57 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,Runtime,-,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,265.752,802.29,9.14285714285714,7,Median runtime 265.752 s across 7 unique scale settings; maximum 802.290 s; mean within-setting runtime rank 9.14 (lower is faster).,The '-' symbol records computational constraint as scale increased in the tested single-threaded implementation.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,Runtime,±,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,4.596,21.344,8,7,Median runtime 4.596 s across 7 unique scale settings; maximum 21.344 s; mean within-setting runtime rank 8.00 (lower is faster).,The '±' symbol records intermediate runtime in the tested single-threaded benchmark.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,Runtime,-,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,277.516,2155.304,9.85714285714286,7,Median runtime 277.516 s across 7 unique scale settings; maximum 2155.304 s; mean within-setting runtime rank 9.86 (lower is faster).,The '-' symbol records computational constraint as scale increased in the tested single-threaded implementation.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,1.054,3.681,1.28571428571429,7,Median runtime 1.054 s across 7 unique scale settings; maximum 3.681 s; mean within-setting runtime rank 1.29 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,1.288,4.272,4.85714285714286,7,Median runtime 1.288 s across 7 unique scale settings; maximum 4.272 s; mean within-setting runtime rank 4.86 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,1.27,4.26,3.85714285714286,7,Median runtime 1.270 s across 7 unique scale settings; maximum 4.260 s; mean within-setting runtime rank 3.86 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,1.258,4.216,3.14285714285714,7,Median runtime 1.258 s across 7 unique scale settings; maximum 4.216 s; mean within-setting runtime rank 3.14 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,1.266,4.275,4.57142857142857,7,Median runtime 1.266 s across 7 unique scale settings; maximum 4.275 s; mean within-setting runtime rank 4.57 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,Runtime,+,Figure 8,Single-threaded fit plus 20-PC score-construction runtime; median seconds across five matched replicates,,,,,,,,,2.102,4.404,5.71428571428571,7,Median runtime 2.102 s across 7 unique scale settings; maximum 4.404 s; mean within-setting runtime rank 5.71 (lower is faster).,The '+' symbol records relatively favorable feasibility in the tested single-threaded benchmark; it is not a universal speed claim.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
